r-baclofen	perturbagen_web_00002.tsv
4sc-202	perturbagen_web_00144.tsv
5-aminolevulinic-acid	perturbagen_web_00147.tsv
5-bdbd	perturbagen_web_00148.tsv
5-carboxamidotryptamine	perturbagen_web_00149.tsv
5-fluoropyrimidine	perturbagen_web_00151.tsv
5-fluorouracil	perturbagen_web_00152.tsv
5-fp	perturbagen_web_00153.tsv
5-hmf	perturbagen_web_00154.tsv
5-hydroxyectoine	perturbagen_web_00156.tsv
5-hydroxytryptophan	perturbagen_web_00158.tsv
5-iodo-a-85380	perturbagen_web_00159.tsv
6-aminochrysene	perturbagen_web_00166.tsv
6-benzylaminopurine	perturbagen_web_00168.tsv
6-chloromelatonin	perturbagen_web_00169.tsv
6-diazo-5-oxo-l-norleucine	perturbagen_web_00170.tsv
6-iodo-nordihydrocapsaicin	perturbagen_web_00171.tsv
7-hydroxy-dpat	perturbagen_web_00175.tsv
7-hydroxystaurosporine	perturbagen_web_00177.tsv
7-methylxanthine	perturbagen_web_00180.tsv
7-nitroindazole	perturbagen_web_00181.tsv
8-bromo-camp	perturbagen_web_00183.tsv
8-bromo-cgmp	perturbagen_web_00184.tsv
8-m-pdot	perturbagen_web_00187.tsv
9-aminoacridine	perturbagen_web_00189.tsv
9-aminocamptothecin	perturbagen_web_00190.tsv
a-317491	perturbagen_web_00194.tsv
a-381393	perturbagen_web_00197.tsv
a-412997	perturbagen_web_00198.tsv
a-438079	perturbagen_web_00199.tsv
a-485	perturbagen_web_00200.tsv
a-582941	perturbagen_web_00201.tsv
a-61603	perturbagen_web_00202.tsv
a-674563	perturbagen_web_00203.tsv
a-769662	perturbagen_web_00205.tsv
a-803467	perturbagen_web_00207.tsv
a-804598	perturbagen_web_00208.tsv
a-839977	perturbagen_web_00209.tsv
a-887826	perturbagen_web_00211.tsv
a0001	perturbagen_web_00216.tsv
a12b4c3	perturbagen_web_00217.tsv
a61603	perturbagen_web_00219.tsv
a740003	perturbagen_web_00221.tsv
a77636	perturbagen_web_00222.tsv
aai101	perturbagen_web_00225.tsv
abacavir	perturbagen_web_00227.tsv
abamectin	perturbagen_web_00229.tsv
abarelix	perturbagen_web_00231.tsv
abemaciclib	perturbagen_web_00234.tsv
abiraterone	perturbagen_web_00235.tsv
abt-239	perturbagen_web_00239.tsv
abt-639	perturbagen_web_00241.tsv
abt-702	perturbagen_web_00242.tsv
abt-724	perturbagen_web_00243.tsv
abt-737	perturbagen_web_00244.tsv
abt-751	perturbagen_web_00245.tsv
abx464	perturbagen_web_00247.tsv
ac-264613	perturbagen_web_00250.tsv
ac-55541	perturbagen_web_00251.tsv
ac260584	perturbagen_web_00256.tsv
acadesine	perturbagen_web_00257.tsv
acalabrutinib	perturbagen_web_00258.tsv
acamprosate	perturbagen_web_00260.tsv
acarbose	perturbagen_web_00261.tsv
acebilustat	perturbagen_web_00263.tsv
acebutolol	perturbagen_web_00264.tsv
acecainide	perturbagen_web_00265.tsv
aceclidine	perturbagen_web_00266.tsv
aceclofenac	perturbagen_web_00267.tsv
acefylline	perturbagen_web_00270.tsv
acemetacin	perturbagen_web_00273.tsv
acenocoumarol	perturbagen_web_00275.tsv
acepromazine	perturbagen_web_00276.tsv
acetanilide	perturbagen_web_00278.tsv
acetarsol	perturbagen_web_00279.tsv
acetazolamide	perturbagen_web_00280.tsv
acetohexamide	perturbagen_web_00281.tsv
acetylcholine	perturbagen_web_00288.tsv
acetylcysteine	perturbagen_web_00289.tsv
acetylspiramycin	perturbagen_web_00291.tsv
acifran	perturbagen_web_00293.tsv
acipimox	perturbagen_web_00294.tsv
acitretin	perturbagen_web_00296.tsv
acivicin	perturbagen_web_00297.tsv
aclarubicin	perturbagen_web_00298.tsv
aclidinium	perturbagen_web_00299.tsv
acolbifene	perturbagen_web_00300.tsv
acpc	perturbagen_web_00302.tsv
acriflavine	perturbagen_web_00303.tsv
acrivastine	perturbagen_web_00306.tsv
acrylate	perturbagen_web_00307.tsv
actarit	perturbagen_web_00310.tsv
actinomycin-d	perturbagen_web_00312.tsv
acy-1215	perturbagen_web_00315.tsv
acyclovir	perturbagen_web_00316.tsv
ad-5467	perturbagen_web_00317.tsv
adapalene	perturbagen_web_00318.tsv
adatanserin	perturbagen_web_00322.tsv
adefovir	perturbagen_web_00325.tsv
adefovir-dipivoxil	perturbagen_web_00326.tsv
adenine	perturbagen_web_00329.tsv
adenosine	perturbagen_web_00330.tsv
adenosine-triphosphate	perturbagen_web_00332.tsv
adiphenine	perturbagen_web_00333.tsv
adiporon	perturbagen_web_00335.tsv
adl5859	perturbagen_web_00336.tsv
adrafinil	perturbagen_web_00339.tsv
adrenosterone	perturbagen_web_00341.tsv
adx-47273	perturbagen_web_00343.tsv
aee788	perturbagen_web_00344.tsv
afamelanotide	perturbagen_web_00348.tsv
afatinib	perturbagen_web_00349.tsv
afloqualone	perturbagen_web_00351.tsv
afn-1252	perturbagen_web_00352.tsv
afobazole	perturbagen_web_00353.tsv
ag-490	perturbagen_web_00356.tsv
ag-555	perturbagen_web_00357.tsv
ag-556	perturbagen_web_00358.tsv
agi-6780	perturbagen_web_00360.tsv
agm-1470	perturbagen_web_00361.tsv
agmatine	perturbagen_web_00362.tsv
agomelatine	perturbagen_web_00366.tsv
ah6809	perturbagen_web_00370.tsv
aim-100	perturbagen_web_00372.tsv
ajmaline	perturbagen_web_00374.tsv
ak-7	perturbagen_web_00375.tsv
akba	perturbagen_web_00376.tsv
alacepril	perturbagen_web_00379.tsv
alafosfalin	perturbagen_web_00380.tsv
alagebrium	perturbagen_web_00381.tsv
alanine	perturbagen_web_00382.tsv
alanosine	perturbagen_web_00383.tsv
alantolactone	perturbagen_web_00384.tsv
alaproclate	perturbagen_web_00385.tsv
alarelin	perturbagen_web_00386.tsv
albendazole	perturbagen_web_00387.tsv
albuterol	perturbagen_web_00389.tsv
alcaftadine	perturbagen_web_00390.tsv
alclofenac	perturbagen_web_00391.tsv
alcuronium	perturbagen_web_00393.tsv
alda-1	perturbagen_web_00394.tsv
aldoxorubicin	perturbagen_web_00395.tsv
alectinib	perturbagen_web_00396.tsv
alendronate	perturbagen_web_00397.tsv
alexidine	perturbagen_web_00398.tsv
alfacalcidol	perturbagen_web_00399.tsv
alfuzosin	perturbagen_web_00401.tsv
alimemazine	perturbagen_web_00404.tsv
alinidine	perturbagen_web_00405.tsv
alisertib	perturbagen_web_00406.tsv
alisporivir	perturbagen_web_00408.tsv
alizapride	perturbagen_web_00409.tsv
alizarin	perturbagen_web_00410.tsv
allantoin	perturbagen_web_00411.tsv
allicin	perturbagen_web_00412.tsv
allopurinol	perturbagen_web_00413.tsv
allylestrenol	perturbagen_web_00415.tsv
allylisothiocyanate	perturbagen_web_00416.tsv
allylthiourea	perturbagen_web_00417.tsv
almitrine	perturbagen_web_00418.tsv
almorexant	perturbagen_web_00419.tsv
almotriptan	perturbagen_web_00420.tsv
aloe-emodin	perturbagen_web_00421.tsv
alogliptin	perturbagen_web_00422.tsv
aloin	perturbagen_web_00423.tsv
aloperine	perturbagen_web_00424.tsv
alosetron	perturbagen_web_00425.tsv
alovudine	perturbagen_web_00426.tsv
alpelisib	perturbagen_web_00428.tsv
alpha-asarone	perturbagen_web_00429.tsv
alpha-d-glucopyranose	perturbagen_web_00430.tsv
alpha-methylserotonin	perturbagen_web_00435.tsv
alpidem	perturbagen_web_00438.tsv
alprenolol	perturbagen_web_00439.tsv
alprostadil	perturbagen_web_00440.tsv
alrestatin	perturbagen_web_00441.tsv
als-8112	perturbagen_web_00442.tsv
als-8176	perturbagen_web_00443.tsv
altanserin	perturbagen_web_00444.tsv
altinicline	perturbagen_web_00446.tsv
altrenogest	perturbagen_web_00448.tsv
altretamine	perturbagen_web_00449.tsv
alvimopan	perturbagen_web_00452.tsv
alvocidib	perturbagen_web_00453.tsv
alx-40-4c	perturbagen_web_00454.tsv
alx-5407	perturbagen_web_00455.tsv
am-251	perturbagen_web_00458.tsv
am-404	perturbagen_web_00460.tsv
am-580	perturbagen_web_00461.tsv
am-630	perturbagen_web_00462.tsv
amantadine	perturbagen_web_00467.tsv
ambazone	perturbagen_web_00468.tsv
ambenonium	perturbagen_web_00469.tsv
ambrisentan	perturbagen_web_00470.tsv
ambroxol	perturbagen_web_00471.tsv
amcinonide	perturbagen_web_00473.tsv
amd11070	perturbagen_web_00475.tsv
amdinocillin	perturbagen_web_00476.tsv
ameltolide	perturbagen_web_00477.tsv
amenamevir	perturbagen_web_00478.tsv
ametantrone	perturbagen_web_00479.tsv
amezinium	perturbagen_web_00480.tsv
amfenac	perturbagen_web_00481.tsv
amflutizole	perturbagen_web_00482.tsv
amg-837	perturbagen_web_00493.tsv
amg-9810	perturbagen_web_00495.tsv
ami-1	perturbagen_web_00500.tsv
amibegron	perturbagen_web_00501.tsv
amidopyrine	perturbagen_web_00502.tsv
amifampridine	perturbagen_web_00503.tsv
amiflamine	perturbagen_web_00504.tsv
amifostine	perturbagen_web_00505.tsv
amikacin	perturbagen_web_00506.tsv
amiloride	perturbagen_web_00507.tsv
amineptine	perturbagen_web_00508.tsv
aminoglutethimide	perturbagen_web_00510.tsv
aminoguanidine	perturbagen_web_00511.tsv
aminopentamide	perturbagen_web_00515.tsv
aminophylline	perturbagen_web_00516.tsv
aminopterin	perturbagen_web_00517.tsv
aminosalicylate	perturbagen_web_00519.tsv
aminothiadiazole	perturbagen_web_00520.tsv
aminothiazole	perturbagen_web_00521.tsv
amiodarone	perturbagen_web_00522.tsv
amiprilose	perturbagen_web_00523.tsv
amiselimod	perturbagen_web_00524.tsv
amisulpride	perturbagen_web_00525.tsv
amitifadine	perturbagen_web_00526.tsv
amitraz	perturbagen_web_00527.tsv
amitriptyline	perturbagen_web_00528.tsv
amlexanox	perturbagen_web_00529.tsv
amlodipine	perturbagen_web_00530.tsv
amodiaquine	perturbagen_web_00535.tsv
amonafide	perturbagen_web_00536.tsv
amorolfine	perturbagen_web_00537.tsv
amoxapine	perturbagen_web_00538.tsv
amoxicillin	perturbagen_web_00539.tsv
ampa-rs	perturbagen_web_00540.tsv
ampalex	perturbagen_web_00542.tsv
amperozide	perturbagen_web_00543.tsv
amphotericin-b	perturbagen_web_00544.tsv
ampicillin	perturbagen_web_00545.tsv
ampiroxicam	perturbagen_web_00546.tsv
amprenavir	perturbagen_web_00547.tsv
amprolium	perturbagen_web_00548.tsv
ampyrone	perturbagen_web_00549.tsv
amrinone	perturbagen_web_00550.tsv
amrubicin	perturbagen_web_00551.tsv
amsacrine	perturbagen_web_00552.tsv
amthamine	perturbagen_web_00553.tsv
amuvatinib	perturbagen_web_00555.tsv
amygdalin	perturbagen_web_00556.tsv
ana-12	perturbagen_web_00562.tsv
anabasine	perturbagen_web_00563.tsv
anacetrapib	perturbagen_web_00564.tsv
anagliptin	perturbagen_web_00565.tsv
anagrelide	perturbagen_web_00566.tsv
anamorelin	perturbagen_web_00567.tsv
anandamide	perturbagen_web_00568.tsv
anastrozole	perturbagen_web_00569.tsv
andrographolide	perturbagen_web_00571.tsv
androstenone	perturbagen_web_00572.tsv
androsterone	perturbagen_web_00573.tsv
anethole	perturbagen_web_00575.tsv
anguidine	perturbagen_web_00577.tsv
anidulafungin	perturbagen_web_00578.tsv
aniracetam	perturbagen_web_00579.tsv
anisodamine	perturbagen_web_00581.tsv
anisomycin	perturbagen_web_00582.tsv
anlotinib	perturbagen_web_00584.tsv
anpirtoline	perturbagen_web_00585.tsv
antalarmin	perturbagen_web_00589.tsv
antazoline	perturbagen_web_00590.tsv
anthralin	perturbagen_web_00591.tsv
anthraquinone	perturbagen_web_00592.tsv
antimycin-a	perturbagen_web_00595.tsv
ap-18	perturbagen_web_00597.tsv
ap1903	perturbagen_web_00598.tsv
ap26113	perturbagen_web_00599.tsv
apabetalone	perturbagen_web_00600.tsv
apafant	perturbagen_web_00601.tsv
apalutamide	perturbagen_web_00602.tsv
apatinib	perturbagen_web_00604.tsv
apd668	perturbagen_web_00608.tsv
aphidicolin	perturbagen_web_00609.tsv
api-1	perturbagen_web_00611.tsv
apigenin	perturbagen_web_00612.tsv
apixaban	perturbagen_web_00613.tsv
apocynin	perturbagen_web_00614.tsv
apr-246	perturbagen_web_00616.tsv
apraclonidine	perturbagen_web_00617.tsv
apramycin	perturbagen_web_00618.tsv
apremilast	perturbagen_web_00620.tsv
aprepitant	perturbagen_web_00621.tsv
apricitabine	perturbagen_web_00622.tsv
aprindine	perturbagen_web_00623.tsv
aptiganel	perturbagen_web_00625.tsv
apto-253	perturbagen_web_00626.tsv
apy0201	perturbagen_web_00628.tsv
aq-13	perturbagen_web_00630.tsv
ar-12	perturbagen_web_00633.tsv
ar-42	perturbagen_web_00634.tsv
ar-a014418	perturbagen_web_00635.tsv
arachidonic-acid	perturbagen_web_00637.tsv
arbidol	perturbagen_web_00639.tsv
arbutin	perturbagen_web_00640.tsv
arctigenin	perturbagen_web_00642.tsv
ardeparin	perturbagen_web_00644.tsv
arecoline	perturbagen_web_00647.tsv
argatroban	perturbagen_web_00648.tsv
argireline	perturbagen_web_00649.tsv
arglabin	perturbagen_web_00650.tsv
aripiprazole	perturbagen_web_00651.tsv
arotinolol	perturbagen_web_00654.tsv
arry-334543	perturbagen_web_00657.tsv
artemether	perturbagen_web_00660.tsv
artemisinin	perturbagen_web_00661.tsv
artemotil	perturbagen_web_00662.tsv
artesunate	perturbagen_web_00663.tsv
articaine	perturbagen_web_00664.tsv
as-1269574	perturbagen_web_00667.tsv
as-2444697	perturbagen_web_00671.tsv
asc-j9	perturbagen_web_00679.tsv
asciminib	perturbagen_web_00680.tsv
ascomycin	perturbagen_web_00681.tsv
ascorbic-acid	perturbagen_web_00682.tsv
asenapine	perturbagen_web_00683.tsv
asimadoline	perturbagen_web_00685.tsv
aspartame	perturbagen_web_00691.tsv
aspirin	perturbagen_web_00692.tsv
astaxanthin	perturbagen_web_00694.tsv
astemizole	perturbagen_web_00695.tsv
astilbin	perturbagen_web_00696.tsv
astx660	perturbagen_web_00698.tsv
asunaprevir	perturbagen_web_00699.tsv
at-1015	perturbagen_web_00701.tsv
at-406	perturbagen_web_00702.tsv
at13148	perturbagen_web_00705.tsv
at13387	perturbagen_web_00706.tsv
at7867	perturbagen_web_00707.tsv
ataluren	perturbagen_web_00708.tsv
atazanavir	perturbagen_web_00709.tsv
atb-346	perturbagen_web_00710.tsv
atipamezole	perturbagen_web_00716.tsv
atiprimod	perturbagen_web_00717.tsv
atn-161	perturbagen_web_00719.tsv
atomoxetine	perturbagen_web_00720.tsv
atorvastatin	perturbagen_web_00721.tsv
atosiban	perturbagen_web_00722.tsv
atovaquone	perturbagen_web_00723.tsv
atpa	perturbagen_web_00724.tsv
atracurium	perturbagen_web_00726.tsv
atrasentan	perturbagen_web_00727.tsv
atropine	perturbagen_web_00728.tsv
auranofin	perturbagen_web_00731.tsv
aurothioglucose	perturbagen_web_00733.tsv
avadomide	perturbagen_web_00739.tsv
avagacestat	perturbagen_web_00740.tsv
avanafil	perturbagen_web_00741.tsv
avasimibe	perturbagen_web_00743.tsv
avatrombopag	perturbagen_web_00744.tsv
avibactam	perturbagen_web_00748.tsv
avitinib	perturbagen_web_00749.tsv
avn-492	perturbagen_web_00751.tsv
avn-944	perturbagen_web_00752.tsv
avobenzone	perturbagen_web_00753.tsv
avridine	perturbagen_web_00755.tsv
axitinib	perturbagen_web_00757.tsv
ay-9944	perturbagen_web_00758.tsv
az191	perturbagen_web_00764.tsv
az960	perturbagen_web_00770.tsv
azacitidine	perturbagen_web_00771.tsv
azacyclonol	perturbagen_web_00772.tsv
azaperone	perturbagen_web_00775.tsv
azapropazone	perturbagen_web_00776.tsv
azaserine	perturbagen_web_00777.tsv
azasetron	perturbagen_web_00778.tsv
azatadine	perturbagen_web_00779.tsv
azathioprine	perturbagen_web_00780.tsv
azd1208	perturbagen_web_00783.tsv
azd1283	perturbagen_web_00784.tsv
azd1480	perturbagen_web_00787.tsv
azd1981	perturbagen_web_00788.tsv
azd2014	perturbagen_web_00789.tsv
azd3514	perturbagen_web_00794.tsv
azd3759	perturbagen_web_00795.tsv
azd3965	perturbagen_web_00797.tsv
azd4547	perturbagen_web_00800.tsv
azd4573	perturbagen_web_00801.tsv
azd5069	perturbagen_web_00803.tsv
azd5153	perturbagen_web_00804.tsv
azd5363	perturbagen_web_00805.tsv
azd5438	perturbagen_web_00806.tsv
azd5582	perturbagen_web_00807.tsv
azd6482	perturbagen_web_00809.tsv
azd6738	perturbagen_web_00810.tsv
azd6765	perturbagen_web_00811.tsv
azd7545	perturbagen_web_00812.tsv
azd8055	perturbagen_web_00817.tsv
azd8330	perturbagen_web_00819.tsv
azd8835	perturbagen_web_00821.tsv
azd8931	perturbagen_web_00822.tsv
azd9272	perturbagen_web_00824.tsv
azd9668	perturbagen_web_00826.tsv
azelastine	perturbagen_web_00828.tsv
azelnidipine	perturbagen_web_00830.tsv
azilsartan	perturbagen_web_00831.tsv
azimilide	perturbagen_web_00833.tsv
azithromycin	perturbagen_web_00834.tsv
azlocillin	perturbagen_web_00835.tsv
azodicarbonamide	perturbagen_web_00837.tsv
azosemide	perturbagen_web_00839.tsv
aztreonam	perturbagen_web_00840.tsv
bacampicillin	perturbagen_web_00841.tsv
bacitracin	perturbagen_web_00842.tsv
baclofen	perturbagen_web_00844.tsv
badge	perturbagen_web_00845.tsv
bafetinib	perturbagen_web_00846.tsv
bafilomycin-a1	perturbagen_web_00847.tsv
baicalein	perturbagen_web_00849.tsv
baicalin	perturbagen_web_00850.tsv
bakuchiol	perturbagen_web_00851.tsv
balaglitazone	perturbagen_web_00852.tsv
balicatib	perturbagen_web_00854.tsv
balofloxacin	perturbagen_web_00855.tsv
baloxavir	perturbagen_web_00856.tsv
balsalazide	perturbagen_web_00858.tsv
bam7	perturbagen_web_00859.tsv
bambuterol	perturbagen_web_00861.tsv
barasertib	perturbagen_web_00864.tsv
barasertib-hqpa	perturbagen_web_00865.tsv
bardoxolone	perturbagen_web_00866.tsv
baricitinib	perturbagen_web_00868.tsv
barnidipine	perturbagen_web_00870.tsv
basimglurant	perturbagen_web_00872.tsv
basmisanil	perturbagen_web_00873.tsv
batimastat	perturbagen_web_00875.tsv
bavisant	perturbagen_web_00876.tsv
bay-11-7082	perturbagen_web_00878.tsv
bay-41-2272	perturbagen_web_00884.tsv
bay-61-3606	perturbagen_web_00887.tsv
bay-8002	perturbagen_web_00888.tsv
bazedoxifene	perturbagen_web_00897.tsv
bctc	perturbagen_web_00900.tsv
be-2254	perturbagen_web_00905.tsv
bebt-908	perturbagen_web_00906.tsv
beclamide	perturbagen_web_00908.tsv
beclomethasone	perturbagen_web_00909.tsv
bedaquiline	perturbagen_web_00911.tsv
befuraline	perturbagen_web_00912.tsv
bekanamycin	perturbagen_web_00914.tsv
belinostat	perturbagen_web_00915.tsv
belotecan	perturbagen_web_00917.tsv
bemegride	perturbagen_web_00918.tsv
bemesetron	perturbagen_web_00919.tsv
benactyzine	perturbagen_web_00922.tsv
benazepril	perturbagen_web_00924.tsv
bendamustine	perturbagen_web_00925.tsv
bendazac	perturbagen_web_00926.tsv
bendroflumethiazide	perturbagen_web_00928.tsv
benfluorex	perturbagen_web_00930.tsv
benfluralin	perturbagen_web_00931.tsv
benfotiamine	perturbagen_web_00932.tsv
benidipine	perturbagen_web_00933.tsv
benperidol	perturbagen_web_00934.tsv
benproperine	perturbagen_web_00935.tsv
benserazide	perturbagen_web_00936.tsv
bentiromide	perturbagen_web_00937.tsv
benurestat	perturbagen_web_00938.tsv
benzalkonium	perturbagen_web_00939.tsv
benzamil	perturbagen_web_00940.tsv
benzbromarone	perturbagen_web_00941.tsv
benzethonium	perturbagen_web_00943.tsv
benznidazole	perturbagen_web_00944.tsv
benzocaine	perturbagen_web_00946.tsv
benzoin	perturbagen_web_00950.tsv
benzonatate	perturbagen_web_00951.tsv
benzotript	perturbagen_web_00953.tsv
benzoyl-peroxide	perturbagen_web_00955.tsv
benzthiazide	perturbagen_web_00957.tsv
benzydamine	perturbagen_web_00959.tsv
benzyl-isothiocyanate	perturbagen_web_00962.tsv
benzyldimethylhexadecylammonium	perturbagen_web_00963.tsv
benzylpenicillin	perturbagen_web_00965.tsv
bepotastine	perturbagen_web_00967.tsv
bepridil	perturbagen_web_00968.tsv
berberine	perturbagen_web_00969.tsv
bergapten	perturbagen_web_00970.tsv
bergenin	perturbagen_web_00971.tsv
besifloxacin	perturbagen_web_00972.tsv
beta-carotene	perturbagen_web_00975.tsv
beta-elemene	perturbagen_web_00977.tsv
beta-funaltrexamine	perturbagen_web_00978.tsv
beta-hydroxy-beta-methylbutyrate	perturbagen_web_00980.tsv
beta-hydroxybutyrate	perturbagen_web_00981.tsv
beta-lapachone	perturbagen_web_00982.tsv
beta-naphthol	perturbagen_web_00983.tsv
betahistine	perturbagen_web_00984.tsv
betaine	perturbagen_web_00985.tsv
betamethasone	perturbagen_web_00986.tsv
betamipron	perturbagen_web_00992.tsv
betaxolol	perturbagen_web_00993.tsv
betazole	perturbagen_web_00994.tsv
bethanechol	perturbagen_web_00995.tsv
betp	perturbagen_web_00996.tsv
betrixaban	perturbagen_web_00997.tsv
bevantolol	perturbagen_web_00999.tsv
bexagliflozin	perturbagen_web_01002.tsv
bexarotene	perturbagen_web_01003.tsv
bezafibrate	perturbagen_web_01004.tsv
bgp-15	perturbagen_web_01006.tsv
bgt226	perturbagen_web_01007.tsv
bhq	perturbagen_web_01008.tsv
bi-2536	perturbagen_web_01010.tsv
bi-d1870	perturbagen_web_01014.tsv
biapenem	perturbagen_web_01016.tsv
bibn4096	perturbagen_web_01017.tsv
bicalutamide	perturbagen_web_01021.tsv
bicifadine	perturbagen_web_01022.tsv
bictegravir	perturbagen_web_01023.tsv
bicyclol	perturbagen_web_01026.tsv
bifemelane	perturbagen_web_01027.tsv
bifendate	perturbagen_web_01028.tsv
bifonazole	perturbagen_web_01029.tsv
biib021	perturbagen_web_01030.tsv
bilastine	perturbagen_web_01031.tsv
bilobalide	perturbagen_web_01032.tsv
bimatoprost	perturbagen_web_01033.tsv
bina	perturbagen_web_01035.tsv
bindarit	perturbagen_web_01036.tsv
binimetinib	perturbagen_web_01037.tsv
bio-1211	perturbagen_web_01038.tsv
biotin	perturbagen_web_01040.tsv
biperiden	perturbagen_web_01042.tsv
birinapant	perturbagen_web_01043.tsv
bisacodyl	perturbagen_web_01046.tsv
bisantrene	perturbagen_web_01047.tsv
bisoctrizole	perturbagen_web_01054.tsv
bisoprolol	perturbagen_web_01055.tsv
bisphenol-a	perturbagen_web_01056.tsv
bithionol	perturbagen_web_01057.tsv
bitopertin	perturbagen_web_01058.tsv
bivalirudin	perturbagen_web_01060.tsv
bix-01294	perturbagen_web_01061.tsv
bl-5583	perturbagen_web_01064.tsv
bleomycin	perturbagen_web_01068.tsv
blonanserin	perturbagen_web_01069.tsv
blu9931	perturbagen_web_01070.tsv
blz945	perturbagen_web_01071.tsv
bms-207940	perturbagen_web_01077.tsv
bms-214662	perturbagen_web_01078.tsv
bms-299897	perturbagen_web_01080.tsv
bms-309403	perturbagen_web_01081.tsv
bms-345541	perturbagen_web_01082.tsv
bms-387032	perturbagen_web_01083.tsv
bms-470539	perturbagen_web_01084.tsv
bms-536924	perturbagen_web_01085.tsv
bms-566419	perturbagen_web_01086.tsv
bms-582949	perturbagen_web_01087.tsv
bms-587101	perturbagen_web_01088.tsv
bms-599626	perturbagen_web_01089.tsv
bms-690514	perturbagen_web_01094.tsv
bms-754807	perturbagen_web_01096.tsv
bms-777607	perturbagen_web_01098.tsv
bms-833923	perturbagen_web_01103.tsv
bms-986205	perturbagen_web_01113.tsv
bmy-14802	perturbagen_web_01115.tsv
bmy-7378	perturbagen_web_01117.tsv
bnc105	perturbagen_web_01118.tsv
bntx	perturbagen_web_01119.tsv
boceprevir	perturbagen_web_01120.tsv
bopindolol	perturbagen_web_01122.tsv
boronophenylalanine	perturbagen_web_01124.tsv
bortezomib	perturbagen_web_01125.tsv
bosentan	perturbagen_web_01127.tsv
bosutinib	perturbagen_web_01128.tsv
bp-554	perturbagen_web_01129.tsv
bp-897	perturbagen_web_01130.tsv
bq-123	perturbagen_web_01131.tsv
bq-788	perturbagen_web_01132.tsv
brefeldin-a	perturbagen_web_01137.tsv
bremelanotide	perturbagen_web_01138.tsv
brequinar	perturbagen_web_01139.tsv
bretazenil	perturbagen_web_01140.tsv
bretylium	perturbagen_web_01141.tsv
brexpiprazole	perturbagen_web_01142.tsv
brigatinib	perturbagen_web_01144.tsv
brimonidine	perturbagen_web_01146.tsv
brincidofovir	perturbagen_web_01147.tsv
brinzolamide	perturbagen_web_01148.tsv
brivanib	perturbagen_web_01149.tsv
brivudine	perturbagen_web_01151.tsv
brl-15572	perturbagen_web_01152.tsv
brl-37344	perturbagen_web_01154.tsv
brl-44408	perturbagen_web_01155.tsv
bromfenac	perturbagen_web_01162.tsv
bromhexine	perturbagen_web_01163.tsv
bromisoval	perturbagen_web_01165.tsv
bromocriptine	perturbagen_web_01166.tsv
bromopride	perturbagen_web_01167.tsv
bromperidol	perturbagen_web_01169.tsv
brompheniramine	perturbagen_web_01170.tsv
bronopol	perturbagen_web_01171.tsv
bropirimine	perturbagen_web_01172.tsv
broxaterol	perturbagen_web_01174.tsv
broxyquinoline	perturbagen_web_01176.tsv
bruceantin	perturbagen_web_01177.tsv
brucine	perturbagen_web_01178.tsv
bs-181	perturbagen_web_01179.tsv
bt-11	perturbagen_web_01180.tsv
bts	perturbagen_web_01184.tsv
bu-224	perturbagen_web_01190.tsv
bucillamine	perturbagen_web_01194.tsv
bucladesine	perturbagen_web_01195.tsv
